2023-08-31 15:21:19 install ubuntu-fan:all <none> 0.12.10
2023-08-31 15:21:19 status half-installed ubuntu-fan:all 0.12.10
2023-08-31 15:21:20 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:20 status unpacked ubuntu-fan:all 0.12.10
2023-08-31 15:21:20 startup packages configure
2023-08-31 15:21:20 configure runc:arm64 1.1.4-0ubuntu1~18.04.2 <none>
2023-08-31 15:21:20 status unpacked runc:arm64 1.1.4-0ubuntu1~18.04.2
2023-08-31 15:21:20 status half-configured runc:arm64 1.1.4-0ubuntu1~18.04.2
2023-08-31 15:21:20 status installed runc:arm64 1.1.4-0ubuntu1~18.04.2
2023-08-31 15:21:20 configure netcat-traditional:arm64 1.10-41.1 <none>
2023-08-31 15:21:20 status unpacked netcat-traditional:arm64 1.10-41.1
2023-08-31 15:21:20 status half-configured netcat-traditional:arm64 1.10-41.1
2023-08-31 15:21:21 status installed netcat-traditional:arm64 1.10-41.1
2023-08-31 15:21:21 configure apparmor:arm64 2.12-4ubuntu5.3 <none>
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
2023-08-31 15:21:21 status unpacked apparmor:arm64 2.12-4ubuntu5.3
